#f	lead1	lead2	lead3	lead4	lead5	lead6	lead7	lead8	lead9	lead10	lead11	lead12
70.7476	0.00416636	5.32374	5.6733	15.1627	22.1752	18.7022	178.315	375.624	2281.17	4113.47	2939.13	0
71.2494	0.00241252	4.78919	4.3749	11.1576	11.4978	1.91246	6.40619	201.747	1533.14	2499.41	1683.9	0
71.7511	0.00390863	5.18409	5.52259	14.7593	21.5802	18.1418	147.913	77.6844	860.888	661.26	1387.6	0
72.2529	0.00236603	4.6594	4.25581	10.8542	11.1692	1.81053	7.58223	111.786	17.541	73.4152	2251.22	0
72.7546	0.00372363	5.03793	5.36574	14.3425	20.9698	17.5647	157.105	270.326	1608.31	4917.07	3926.45	0
73.2564	0.00229287	4.53477	4.14251	10.5644	10.8623	1.72414	5.47994	141.65	1107.09	4238.94	4360.55	0
73.7581	0.00355136	4.90777	5.22623	13.9699	20.4135	17.0603	137.19	88.2074	462.508	142.441	288.861	0
74.2599	0.00222715	4.4162	4.03495	10.2886	10.5676	1.63687	7.19785	198.127	41.895	108.518	537.901	0
74.7617	0.003353	4.77519	5.08402	13.5906	19.8613	16.5331	137.938	174.553	1477.46	2628.84	2283.79	0
75.2634	0.00216794	4.30068	3.9295	10.0196	10.2823	1.56291	4.98301	63.4727	890.772	2539.08	2270.28	0
75.7652	0.0031592	4.656	4.95636	13.2484	19.3504	16.0689	126.37	136.879	504.104	33.6752	14.3296	0
76.2669	0.00211032	4.19105	3.82978	9.76417	10.0095	1.4863	6.57986	179.773	22.5607	121.289	736.153	0
76.7687	0.00302173	4.53243	4.82366	12.8957	18.8384	15.5934	122.111	98.8545	1069.52	616.172	79.7186	0
77.2704	0.00206334	4.08469	3.73238	9.51641	9.74838	1.42183	4.56691	43.9384	917.886	1129.28	2346.1	0
77.7722	0.00287548	4.42263	4.70618	12.5811	18.3704	15.1722	116.012	151.499	790.104	550.179	1878.05	0
78.274	0.0020078	3.98309	3.64007	9.27921	9.49748	1.35603	5.71195	142.674	582.309	800.252	3458.37	0
78.7757	0.00272922	4.30876	4.58309	12.2555	17.8945	14.7372	109.521	40.1071	317.31	417.891	1630.6	0
79.2775	0.00196466	3.88442	3.54972	9.04983	9.25642	1.29946	4.12122	60.1573	890.524	2385.23	1273.48	0
79.7792	0.0025965	4.2072	4.47495	11.9643	17.4623	14.3477	106.369	96.2165	942.102	1075.86	3198.82	0
80.281	0.00191288	3.79119	3.46486	8.8328	9.02609	1.24164	4.76087	93.1387	1774.92	71.0624	439.201	0
80.7827	0.0024819	4.10083	4.3615	11.6611	17.0202	13.9492	99.4389	20.6099	152.766	2050.59	9836.6	0
81.2845	0.00186498	3.69951	3.38145	8.62018	8.80445	1.19269	3.63803	70.747	470.268	3646.54	9004.35	0
81.7862	0.00236035	4.00705	4.26081	11.3923	16.6215	13.5933	97.4874	40.3267	585.064	1751.02	4809.22	0
82.288	0.0018133	3.612	3.30198	8.41627	8.58828	1.14082	3.88643	40.0419	2151.1	175.96	2630.21	0
82.7898	0.00224939	3.9083	4.1552	11.1103	16.2099	13.2216	91.0748	18.6657	957.05	701.92	2995.4	0
83.2915	0.00177639	3.52772	3.22494	8.22058	8.3855	1.09898	3.16191	53.5306	19.4185	1492.14	3438.58	0
83.7933	0.00215683	3.82167	4.0633	10.8646	15.8448	12.9011	89.3354	10.696	94.9337	737.377	1653.57	0
84.295	0.00174029	3.44608	3.15012	8.02941	8.1837	1.05304	3.16225	14.4735	1125.72	3.3854	2514.93	0
84.7968	0.00203827	3.72885	3.96302	10.5978	15.4561	12.5533	83.836	16.7043	1624.94	249.804	1205.29	0
85.2985	0.00169139	3.3678	3.07939	7.84901	7.99697	1.01661	2.71794	30.0004	257.358	31.2794	252.553	0
85.8003	0.00195438	3.64821	3.87655	10.3662	15.1119	12.2542	81.8784	2.25576	41.4703	715.847	2549.66	0
86.3021	0.00165484	3.29201	3.01008	7.67186	7.81214	0.976313	2.58835	9.15428	165.774	539.565	1520.28	0
86.8038	0.0018744	3.56248	3.78506	10.1219	14.7574	11.9403	77.3667	9.50156	1208.07	422.618	648.058	0
87.3056	0.00161331	3.21852	2.94342	7.50173	7.63538	0.942822	2.32623	12.2478	820.861	1130.53	914.388	0
87.8073	0.00180528	3.48714	3.70435	9.90615	14.4357	11.6611	75.1394	9.14247	188.653	46.9805	59.8636	0
88.3091	0.00157995	3.14828	2.87931	7.33794	7.46488	0.908064	2.13915	9.56256	173.702	325.879	1068.13	0
88.8108	0.00170767	3.40667	3.61836	9.67666	14.1014	11.3667	71.4844	5.27055	398.123	0.219328	680.689	0
89.3126	0.00154682	3.07859	2.81555	7.17581	7.29745	0.877296	1.97716	2.67877	846.867	988.324	2104.05	0
89.8143	0.00164124	3.33442	3.54139	9.47056	13.7981	11.1038	69.0811	16.5359	170.611	872.829	1324.47	0
90.3161	0.00150527	3.01385	2.75708	7.02585	7.14155	0.847129	1.78043	8.42973	351.69	2170.32	2035.25	0
90.8179	0.00157287	3.26174	3.4639	9.26325	13.4942	10.8386	66.1402	8.62611	169.096	3560.04	1137.86	0
91.3196	0.00148227	2.94988	2.69911	6.87793	6.98797	0.8193	1.66303	3.33141	381.577	465.813	546.512	0
91.8214	0.0015139	3.19589	3.39342	9.07455	13.2137	10.6003	63.7338	19.3345	198.657	157.81	1079.52	0
92.3231	0.00144898	2.88801	2.64209	6.73314	6.83811	0.792514	1.485	6.27032	135.025	591.246	1190.67	0
92.8249	0.00145476	3.12561	3.31848	8.87506	12.9242	10.3464	61.2647	16.4289	313.591	6310.23	9033.27	0
93.3266	0.00142196	2.82715	2.58625	6.59133	6.69372	0.768516	1.39242	8.46029	36.5574	5984.09	4255.71	0
93.8284	0.00138317	3.06376	3.25179	8.69688	12.6592	10.1215	58.9771	19.5949	423.57	219.491	407.833	0
94.3302	0.00138444	2.77015	2.53475	6.45929	6.55676	0.744663	1.23517	6.40494	114.453	1284.99	2341.31	0
94.8319	0.00133113	2.99778	3.18158	8.50913	12.3865	9.88501	56.8631	23.3917	300.503	906.898	730.836	0
95.3337	0.00134885	2.71353	2.48346	6.32811	6.42272	0.723592	1.15284	13.1065	52.4548	1220.11	1765.85	0
95.8354	0.00128022	2.94063	3.12051	8.34531	12.1438	9.68066	54.7769	18.9407	502.091	819.573	432.982	0
96.3372	0.0013363	2.65856	2.43265	6.19975	6.28771	0.700403	1.02298	9.64751	550.476	142.641	663.206	0
96.8389	0.00119205	2.87898	3.05085	8.16136	11.8778	9.45126	52.905	24.8917	258.2	1816.24	3043.28	0
97.3407	0.00130481	2.60595	2.38485	6.07772	6.16541	0.682098	0.94776	15.6261	217.856	1196.47	2084.05	0
97.8424	0.00118326	2.82449	2.99636	8.01463	11.6574	9.26632	51.0423	18.2714	258.989	457.821	95.4757	0
98.3442	0.00126669	2.55615	2.34001	5.96217	6.05135	0.664641	0.839206	14.2136	627.881	281.84	966.192	0
98.846	0.00113213	2.76598	2.93406	7.84705	11.4148	9.05809	49.376	21.5605	293.922	118.643	514.709	0
99.3477	0.00125186	2.50499	2.29287	5.84327	5.925	0.644662	0.772233	15.9561	275.878	816.531	369.053	0
99.8495	0.00109216	2.71434	2.87888	7.69954	11.1968	8.87544	47.6937	17.4938	121.558	420.484	436.31	0
100.351	0.00122845	2.45771	2.24991	5.73343	5.81206	0.62689	0.686174	17.3687	149.397	547.803	500.176	0
100.853	0.0010492	2.65954	2.82039	7.54373	10.9707	8.6811	46.1933	16.8225	164.364	208.364	1485.19	0
101.355	0.00120527	2.41014	2.2064	5.62255	5.69937	0.611609	0.626154	15.527	174.773	428.814	150.163	0
101.856	0.00101133	2.61278	2.77015	7.40901	10.7694	8.51549	44.7214	15.8557	332.276	1623.17	1051.86	0
102.358	0.00118163	2.36566	2.16595	5.5196	5.59366	0.59543	0.556618	18.1184	59.086	527.023	432.254	0
102.86	0.00097357	2.56013	2.71438	7.25995	10.5539	8.32987	43.337	12.6538	32.1105	219.222	59.6538	0
103.362	0.00115522	2.32118	2.12553	5.41633	5.48872	0.581476	0.503371	15.3971	42.1365	23.4674	36.5377	0
103.864	0.0009512	2.51625	2.66774	7.13404	10.3662	8.17701	42.0364	12.9328	489.096	1509.98	1211.02	0
104.365	0.00113502	2.27893	2.08696	5.31819	5.38735	0.566555	0.447089	17.0941	528.207	1658.01	855.836	0
104.867	0.000922606	2.4667	2.6152	6.99351	10.1637	8.00298	40.7678	9.58525	221.916	893.27	101.747	0
105.369	0.00110863	2.23691	2.04877	5.22052	5.28915	0.554227	0.402706	15.4053	0.359414	506.12	194.832	0
