#f	lead1	lead2	lead3	lead4	lead5	lead6	lead7	lead8	lead9	lead10	lead11	lead12
0.009999	87.4495	17.4659	109.563	75.5889	130.028	0.03396	0.0305516	0.987887	1.30724e-05	1.15995e-06	1.36874e-05	4.86049e-06
0.019998	344.597	69.2007	432.018	298.081	512.493	0.181562	0.285167	3.9384	5.47857e-05	4.91571e-06	5.51268e-05	1.97014e-05
0.029997	756.143	153.284	949.058	654.917	1125.04	0.574981	1.23716	8.81149	0.000132306	1.20526e-05	0.00012539	4.52581e-05
0.039996	1297.52	266.709	1631.52	1126.06	1931.97	1.41836	3.62519	15.5403	0.00025657	2.37433e-05	0.000226052	8.2621e-05
0.049995	1936.36	405.66	2441.21	1685.23	2886.5	2.96501	8.38107	24.0295	0.000440845	4.1361e-05	0.000358912	0.000133045
0.059994	2634.24	565.85	3333.44	2301.58	3933.68	5.48885	16.5391	34.1549	0.000698938	6.62498e-05	0.000525593	0.000197708
0.069993	3348.95	742.853	4259.81	2941.59	5013.77	9.25189	29.1298	45.7629	0.00104319	9.9479e-05	0.000727124	0.00027745
0.079992	4036.92	932.447	5171.26	3571.1	6065.93	14.4718	47.0721	58.6697	0.00148247	0.000141616	0.000963448	0.000372493
0.089991	4655.8	1130.86	6021.1	4157.43	7031.91	21.2917	71.0671	72.6621	0.00202037	0.000192542	0.00123298	0.000482218
0.09999	5166.99	1334.94	6767.9	4671.16	7859.38	29.7558	101.506	87.5008	0.00265373	0.000251333	0.00153224	0.000604969
0.109989	5538.05	1542.17	7377.65	5087.98	8505.12	39.7925	138.401	102.92	0.0033718	0.000316242	0.00185549	0.000737974
0.119988	5744.66	1750.57	7825.88	5389.77	8937.02	51.2073	181.339	118.633	0.00415602	0.000384759	0.00219466	0.000877316
0.129987	5772.35	1958.56	8098.56	5565.66	9136.1	63.6864	229.468	134.34	0.00498038	0.000453779	0.00253928	0.00101805
0.139986	5617.58	2164.57	8192.8	5612.2	9096.69	76.8107	281.515	149.733	0.00581269	0.000519843	0.00287673	0.00115448
0.149985	5288.15	2366.8	8116.14	5533.43	8826.76	90.0774	335.844	164.502	0.00661646	0.000579438	0.0031927	0.00128037
0.159984	4803.12	2562.86	7885.79	5340.08	8346.56	102.935	390.529	178.345	0.00735298	0.000629338	0.00347179	0.00138952
0.169983	4191.81	2749.49	7526.95	5048.76	7686.92	114.814	443.457	190.982	0.00798433	0.000666913	0.00369835	0.00147615
0.179982	3492.36	2922.45	7070.6	4680.48	6886.86	125.17	492.459	202.157	0.00847597	0.000690425	0.00385746	0.00153549
0.189981	2749.61	3076.43	6550.92	4259.14	5990.94	133.521	535.424	211.649	0.00879944	0.000699246	0.0039361	0.00156422
0.19998	2012.49	3205.31	6003.26	3809.87	5046.07	139.478	570.433	219.28	0.00893481	0.000693946	0.00392421	0.00156104
0.209979	1331.04	3302.4	5461.04	3357.33	4098.62	142.775	595.884	224.922	0.00887252	0.000676315	0.00381582	0.001527
0.219978	753.409	3360.96	4954.03	2924.24	3191.56	143.286	610.577	228.499	0.00861443	0.000649225	0.00361004	0.00146568
0.229977	322.669	3374.81	4506.14	2529.94	2362.01	141.032	613.801	229.994	0.00817429	0.000616395	0.00331177	0.00138341
0.239976	73.9067	3339.01	4134.31	2189.55	1639.44	136.178	605.372	229.437	0.00757707	0.000582062	0.00293216	0.00128899
0.249975	31.7736	3250.48	3847.63	1913.13	1044.33	129.018	585.649	226.918	0.00685753	0.000550576	0.00248869	0.00119348
0.259974	208.515	3108.61	3647.45	1705.54	587.587	119.954	555.509	222.57	0.00605824	0.000525978	0.00200473	0.00110961
0.269973	602.769	2915.65	3527.5	1566.46	270.704	109.463	516.302	216.566	0.00522651	0.000511598	0.00150883	0.00105105
0.279972	1199.16	2676.96	3475.22	1490.93	86.4614	98.0608	469.752	209.113	0.00441136	0.000509698	0.0010334	0.00103161
0.289971	1968.82	2400.89	3473.15	1469.98	20.2286	86.2678	417.877	200.438	0.00366004	0.000521217	0.000613031	0.00106416
0.29997	2870.8	2098.54	3500.61	1491.71	51.6622	74.569	362.854	190.779	0.00301484	0.00054566	0.000282499	0.00115963
0.309969	3854.23	1783.04	3535.63	1542.32	156.673	63.3879	306.903	180.378	0.00250998	0.000581097	7.45609e-05	0.00132608
0.319968	4861.36	1468.79	3556.99	1607.32	309.503	53.0582	252.16	169.465	0.00216933	0.000624352	1.76284e-05	0.00156762
0.329967	5831.12	1170.35	3545.79	1672.62	484.738	43.8102	200.568	158.259	0.00200475	0.000671306	0.000133546	0.00188386
0.339966	6702.92	901.408	3487.15	1725.53	659.121	35.7662	153.772	146.95	0.00201538	0.000717328	0.000435595	0.00226931
0.349965	7420.69	673.621	3371.19	1755.61	813.044	28.9439	113.056	135.702	0.00218784	0.000757789	0.000926878	0.00271321
0.359964	7936.77	495.62	3193.71	1755.23	931.635	23.2712	79.2836	124.648	0.00249747	0.000788591	0.00159929	0.00319965
0.369963	8215.37	372.312	2956.39	1719.9	1005.36	18.6087	52.885	113.891	0.00291028	0.000806694	0.00243318	0.00370816
0.379962	8235.02	304.369	2666.45	1648.37	1030.19	14.7769	33.8614	103.499	0.0033857	0.000810555	0.0033976	0.0042147
0.389961	7991.02	288.154	2335.87	1542.44	1007.25	11.5865	21.8221	93.5196	0.00387977	0.000800462	0.00445163	0.00469258
0.39996	7495.76	316.058	1980.38	1406.56	942.16	8.86903	16.0378	83.9734	0.00434857	0.000778683	0.00554616	0.00511434
0.409959	6778.63	377.161	1618	1247.29	844.008	6.50315	15.5185	74.8696	0.00475147	0.000749445	0.00662652	0.00545326
